mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor,param_regressor__alpha,param_regressor__l1_ratio,param_regressor__n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0.005817031860351563,0.0006579458756459149,0.0032142162322998046,0.0005076920761001217,ElasticNet(),0.001,0.0,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.0}",-0.5772405472921557,-0.3336713769656233,-0.35757134057321527,-0.3789175797898316,-0.3997052353702439,-0.4094212159982139,0.08673482317096573,4,0.11512826283358168,0.4380271545842134,0.36321208217917833,0.38991886524404473,0.31678291163458294,0.3246138552951202,0.11185944843975952,4,-0.5887515676962763,-0.49002485850350225,-0.4601745431417749,-0.4941914762055985,-0.4531440187515637,-0.4972572928597431,0.048485092441958054,1
0.0038388729095458984,0.0014184703343210993,0.0026958942413330077,0.000762243140876869,ElasticNet(),0.001,0.25,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.25}",-0.5777255358394923,-0.333244881175353,-0.3571443849149653,-0.3790940252278081,-0.4001094921846935,-0.40946366386846245,0.08702698756556138,5,0.11438480733586809,0.43874546328361597,0.36397243451665307,0.38963477699170523,0.3160919145215121,0.3245658793298709,0.11231358469088856,5,-0.5896523981810128,-0.48983614166979056,-0.45991429481667034,-0.494022679333882,-0.45359664205153793,-0.49740443121057865,0.04879146519698679,2
0.004094505310058593,0.0005189755652368484,0.003843402862548828,0.001474013648407314,ElasticNet(),0.001,0.5,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.5}",-0.5783736963442105,-0.33271538484084207,-0.35662119650579105,-0.3792648168920154,-0.4007657033664265,-0.4095481595898571,0.08740802359005942,6,0.11339121997534196,0.43963724658384495,0.36490416483142607,0.3893597916707173,0.31497025122250344,0.32445253485676673,0.11291908298668173,6,-0.5907279048858404,-0.48956011108083675,-0.45953133798516566,-0.49378630387401146,-0.45429758350486527,-0.4975806482661439,0.04914531755898986,3
0.0031766414642333983,0.0006621654168295919,0.003305387496948242,0.0012739589686479418,ElasticNet(),0.001,0.75,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}",-0.5792729734307338,-0.33203360422186945,-0.35597100315736574,-0.37942353838234966,-0.4018169399542482,-0.40970361182931336,0.0879234600679077,7,0.11201268743552184,0.4407855086789567,0.36606207437714344,0.3891042400887955,0.31317337007820345,0.32422757613172426,0.1137560660933255,7,-0.5920474353650036,-0.4891509562817235,-0.4589589422447348,-0.49345248415800624,-0.4552045915691243,-0.4977628819237186,0.04959692656264217,4
0.004167079925537109,0.0009415580088113463,0.004233407974243164,0.00216259820993287,ElasticNet(),0.001,1.0,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.001, 'regressor__l1_ratio': 1.0}",-0.5805878680943932,-0.331127065963248,-0.35515936567178724,-0.3795614490500579,-0.40353543680768644,-0.4099942371174345,0.08865320234850205,8,0.10999704052596004,0.44231230995663495,0.3675074948731998,0.3888821952401583,0.3102359394101172,0.3237869960012141,0.11496685890346875,8,-0.59376767867631,-0.4885348840596878,-0.45849266503158564,-0.4929739551574563,-0.45645863836550604,-0.49804556425810914,0.050145391987336155,5
0.004461431503295898,0.0005740307555669863,0.0032111644744873048,0.0007913109206692836,ElasticNet(),0.01,0.0,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.01, 'regressor__l1_ratio': 0.0}",-0.5795592878118214,-0.34812645061334935,-0.3721129981377157,-0.40069675536843263,-0.380747581703838,-0.41624861472703145,0.08338002340354814,9,0.11157378634834558,0.4136817673880432,0.3373152867947463,0.35485302280302666,0.3491872731341372,0.31332222729365977,0.10427007826296493,9,-0.5922793701884826,-0.5034265517957343,-0.47178916648416663,-0.5086954608579828,-0.46032270016592375,-0.507302649898458,0.04627381598962547,7
0.0038076400756835937,0.0010216078551155692,0.002784585952758789,0.0005994468321012715,ElasticNet(),0.01,0.25,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.01, 'regressor__l1_ratio': 0.25}",-0.5825584928684026,-0.353410278146305,-0.3775606734008911,-0.4077293905942396,-0.3782121900187283,-0.41989420500571334,0.08313517192825226,10,0.10697620254903561,0.40478268943780216,0.32761368771736954,0.34353003778537516,0.353521024037755,0.3072847283054675,0.10343514103899697,10,-0.5943613993569092,-0.5071763929177571,-0.4754167555092653,-0.5111815237922426,-0.4625650745781143,-0.5101402292308578,0.04598301661479444,9
0.00325469970703125,0.001136057593493589,0.002488851547241211,0.0005180304329308152,ElasticNet(),0.01,0.5,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.01, 'regressor__l1_ratio': 0.5}",-0.5836510766079401,-0.35637966220011524,-0.37922743201777226,-0.41593074350984227,-0.37599688381304835,-0.4222371596297436,0.08296919093624452,11,0.1053013436429181,0.3997816215577007,0.3246454080240021,0.33032534378289546,0.35730765208699855,0.303472273818903,0.10258152363902079,11,-0.5949896557243822,-0.5095729683269857,-0.4764988362197288,-0.5152101086230314,-0.4656714864396611,-0.5123886110667578,0.04540790006821075,11
0.003550291061401367,0.0010295107827745223,0.003725433349609375,0.0014305403118405856,ElasticNet(),0.01,0.75,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.01, 'regressor__l1_ratio': 0.75}",-0.5844729308456764,-0.35925406096516627,-0.38080992466056107,-0.421077782973967,-0.37544857580891244,-0.42421265505085665,0.08267349611091447,12,0.10404149523057982,0.3949405289007726,0.32182719503927903,0.3220382865324809,0.358244876233603,0.3002184763873431,0.10175242413211034,12,-0.5956495527298249,-0.511647653415894,-0.4776111705206142,-0.5179957128467307,-0.46793044305862785,-0.5141669065143384,0.045021240354564306,12
0.0036165714263916016,0.0011343527353245208,0.0032830238342285156,0.0009447406879846555,ElasticNet(),0.01,1.0,,"{'regressor': ElasticNet(), 'regressor__alpha': 0.01, 'regressor__l1_ratio': 1.0}",-0.5859972315783395,-0.36269756187821334,-0.3819295754216098,-0.4260012421738914,-0.3754149179912974,-0.42640810580867033,0.08259120156412525,13,0.10170484261044965,0.38914094841564073,0.31983324307525485,0.3141112075690805,0.35830240761952636,0.2966185298579904,0.10119442758487564,13,-0.5964797570090521,-0.5140168753552036,-0.47891073021571917,-0.5210746002055721,-0.470719944868059,-0.5162403815307212,0.04456968487283813,13
